EvalID,ProductID,ModelName,HorizonDays,MAE,RMSE,MAPE,EvaluatedAt
951,1,ARIMA,90,19.845,23.759,0.7652,2026-03-02 22:51:32
952,1,HoltWinters,90,21.177,25.876,0.8248,2026-03-02 22:51:32
953,2,ARIMA,90,14.271,20.93,0.2753,2026-03-02 22:51:32
954,2,HoltWinters,90,15.771,20.708,0.2779,2026-03-02 22:51:32
955,3,ARIMA,90,23.25,29.896,0.4323,2026-03-02 22:51:32
956,3,HoltWinters,90,20.298,27.857,0.4154,2026-03-02 22:51:32
957,4,ARIMA,90,5.206,6.02,0.2118,2026-03-02 22:51:32
958,4,HoltWinters,90,5.497,6.762,0.2552,2026-03-02 22:51:32
959,5,ARIMA,90,20.246,26.597,0.1732,2026-03-02 22:51:32
960,5,HoltWinters,90,18.339,24.323,0.1578,2026-03-02 22:51:32
961,6,ARIMA,90,64.323,74.771,0.4162,2026-03-02 22:51:32
962,6,HoltWinters,90,83.477,93.242,0.5577,2026-03-02 22:51:32
963,7,ARIMA,90,14.739,16.032,0.3809,2026-03-02 22:51:32
964,7,HoltWinters,90,31.632,33.037,0.8493,2026-03-02 22:51:32
965,8,ARIMA,90,18.977,21.55,0.2325,2026-03-02 22:51:32
966,8,HoltWinters,90,17.602,21.219,0.2321,2026-03-02 22:51:32
967,9,ARIMA,90,14.156,19.456,0.3848,2026-03-02 22:51:32
968,9,HoltWinters,90,32.445,38.978,0.6228,2026-03-02 22:51:32
969,10,ARIMA,90,35.421,39.99,0.269,2026-03-02 22:51:32
970,10,HoltWinters,90,43.593,47.678,0.3267,2026-03-02 22:51:32
971,11,ARIMA,90,18.667,21.799,0.4298,2026-03-02 22:51:32
972,11,HoltWinters,90,20.018,23.599,0.4847,2026-03-02 22:51:32
973,12,ARIMA,90,26.48,36.263,0.3401,2026-03-02 22:51:32
974,12,HoltWinters,90,34.306,42.612,0.4177,2026-03-02 22:51:32
975,13,ARIMA,90,16.757,19.914,0.3147,2026-03-02 22:51:32
976,13,HoltWinters,90,23.598,29.12,0.3652,2026-03-02 22:51:32
977,14,ARIMA,90,7.519,9.738,0.2092,2026-03-02 22:51:32
978,14,HoltWinters,90,6.861,8.699,0.1918,2026-03-02 22:51:32
979,15,ARIMA,90,39.49,50.023,0.5836,2026-03-02 22:51:32
980,15,HoltWinters,90,37.532,48.077,0.5982,2026-03-02 22:51:32
981,16,ARIMA,90,24.146,29.15,0.1997,2026-03-02 22:51:32
